Orthogroups,HCH_1_F,HCH_2_F,HCH_3_F,HCH_4_F,HCH_5_F,HCH_6_F,HCH_1_M,HCH_2_M,HCH_3_M,HCH_4_M,HCH_5_M,HCH_6_M,HDO_1_F,HDO_2_F,HDO_3_F,HDO_4_F,HDO_5_F,HDO_6_F,HDO_1_M,HDO_2_M,HDO_3_M,HDO_4_M,HDO_5_M,HDO_6_M,HER_1_F,HER_2_F,HER_3_F,HER_1_M,HER_2_M,HER_3_M,HME_1_F,HME_2_F,HME_3_F,HME_4_F,HME_1_M,HME_2_M,HME_3_M,HME_4_M,HSA_1_F,HSA_2_F,HSA_3_F,HSA_4_F,HSA_5_F,HSA_1_M,HSA_2_M,HSA_3_M,HSA_4_M,HSA_5_M,HSA_6_M
Group_885_clean_0,3.442,5.151,5.253,3.464,4.138,5.051,5.744,2.533,4.144,4.695,5.564,3.396,0.749,0.5,0.522,7.442,0.635,0.573,12.168,0.61,1.216,0.755,0.889,1.133,18.037,17.839,22.058,8.922,15.727,18.262,16.616,23.113,21.052,8.454,13.852,26.229,7.821,19.688,1.652,2.847,2.878,3.253,8.651,3.047,3.799,1.171,3.054,0.95,2.048
Group_350_clean_0,64.336,84.754,61.058,60.419,54.8,68.947,52.8,68.599,85.116,73.868,109.818,60.639,142.039,134.479,104.59,65.284,87.297,83.01,45.603,177.177,117.967,140.422,115.615,93.849,179.938,242.332,239.353,134.015,115.265,116.001,76.2,34.027,160.369,176.531,129.664,39.117,143.612,109.645,89.588,189.286,115.218,90.291,36.836,88.401,44.787,108.78,67.941,102.879,73.64
Group_350_clean_1,39.088,26.169,27.163,29.332,29.338,24.279,33.052,31.645,34.757,29.237,23.221,11.967,20.511,20.556,18.692,32.254,19.632,15.517,35.157,29.262,28.936,20.121,32.994,31.358,29.714,33.176,51.68,19.475,27.401,33.974,7.809,8.98,17.04,11.933,9.839,13.989,15.814,8.182,14.032,27.47,23.507,25.956,14.454,8.881,8.326,21.015,14.663,31.389,33.743
Group_1542_clean_0,29.402,30.926,31.494,32.162,39.288,27.292,36.592,34.962,31.863,31.988,32.575,28.833,8.793,6.927,8.775,9.436,9.59,8.544,9.356,9.774,8.831,8.313,7.222,8.988,31.153,34.652,33.156,31.758,30.315,30.211,77.986,78.238,67.505,53.399,67.167,68.49,72.586,79.848,1.005,1.184,0.351,1.411,1.142,0.0001,2.586,0.991,0.557,1.196,0.0001
Group_1943_clean_0,13.924,12.026,11.21,14.2,13.796,13.795,13.263,12.919,11.721,10.94,14.918,13.523,5.613,6.702,8.786,5.776,9.07,7.932,5.94,5.101,7.098,8.964,8.033,6.534,37.931,30.753,36.987,38.15,36.476,35.884,28.531,22.942,25.248,24.469,30.173,29.929,25.631,24.048,13.045,12.436,12.455,13.974,15.135,11.628,12.447,10.062,10.969,10.228,17.654
Group_1411_clean_1,5.804,4.37,5.932,4.337,2.624,6,5.18,5.521,4.997,4.31,3.095,4.776,5.479,5.849,7.453,6.4,6.894,7.171,6.406,6.482,6.207,5.418,7.418,7.736,21.844,18.019,15.431,7.392,7.519,14.403,6.477,5.102,6.218,11.438,6.114,10.785,7.487,10.245,5.324,5.101,7.401,6.366,7.897,5.079,5.646,6.067,6.346,5.552,5.851
Group_321_clean_0,35.598,35.511,36.225,38.216,39.944,40.343,38.472,43.981,39.551,36.432,39.383,37.271,24.267,21.967,24.183,26.672,25.033,22.777,24.732,24.741,23.477,24.939,24.335,22.43,36.441,40.545,40.631,30.768,25.762,35.875,6.124,6.555,2.869,5.131,4.919,4.953,3.779,3.734,1.185,1.683,1.745,2.753,1.016,0.532,1.733,1.692,3.168,1.132,0.636
Group_321_clean_1,120.279,110.815,104.174,101.092,130.48,110.9,137.085,138.523,115.567,108.401,94.186,82.91,40.171,36.028,42.64,37.733,36.009,35.845,39.939,40.733,36.11,36.974,39.073,38.316,46.791,64.756,62.128,25.657,28.717,46.821,9.473,11.215,17.407,19.562,16.351,14.646,12.207,9.756,31.485,34.296,40.034,41.502,44.398,45.158,36.413,34.661,33.32,38.126,35.579
Group_547_clean_0,3.395,2.028,1.759,4.788,3.038,4.856,2.642,2.374,4.977,4.408,1.948,2.264,10.876,8.867,20.846,12.38,11.852,9.986,12.514,11.878,10.814,11.136,8.209,11.185,26.182,35.788,74.752,31.408,20.227,19.915,11.663,16.928,4.451,13.721,7.18,33.376,5.957,12.308,5.943,4.914,11.623,8.378,5.708,6.095,4.935,9.101,7.698,5.787,3.813
Group_231_clean_1,21.046,26.501,25.209,25.925,31.719,21.144,20.729,20.083,20.08,22.768,30.241,28.329,15.73,12.963,14.117,13.791,12.391,11.053,13.96,13.96,11.724,13.545,11.698,11.964,16.996,15.546,13.501,31.998,27.903,18.348,44.33,30.74,23.604,15.694,46.245,26.886,51.757,27.128,9.4,11.054,10.791,10.831,7.793,10.874,7.853,10.703,8.513,7.73,14.294
