species,TFTx,BPP/CNP,CRISP,CTL,GF,KSPI,LAAO,ePLA2,vPLA2,SVMP,SVSP,Total,cm,Family,Author,Tech,Ref
Agkistrodon_piscivorus,0,0.0457,0,0.0608,0,0,0,0,0.3896,0.349,0.083,0.9281,127,Viperidae,Aronow (2018),Illumina,https://search.proquest.com/openview/2997dede40d17e51e7dabfd03d9762df/1?pq-origsite=gscholar&cbl=18750&diss=y
Atropoides_picadoi,0.004,0.164,0.026,0.048,0.006,0.0001,0.031,0,0.023,0.561,0.109,0.9721,120.2,Viperidae,Durban et al. (2011),Roche GS FLX,https://doi.org/10.1186/1471-2164-12-259
Bitis_gabonica,0,0.01813,0,0.07591,0.03626,0.09064,0.05665,0,0.05665,0.37729,0.14729,0.85882,120,Viperidae,Francischetti et al. (2004),Beckman Coulter,https://doi.org/10.1016/j.gene.2004.03.024
Boiga_irregularis,0.67475,0.014,0.03835,0.02271,0.00025,0.001,0,0.0004,0,0.24854,0,1,270,Colubridae,McGivern et al. (2014),Illumina,https://doi.org/10.1186/1471-2164-15-1061
Bothriechis_lateralis,0.016,0.236,0.032,0.031,0.018,0.0002,0.034,0,0.03,0.449,0.104,0.9502,90,Viperidae,Durban et al. (2011),Roche GS FLX,https://doi.org/10.1186/1471-2164-12-259
Bothriechis_schlegelii,0.036,0.153,0.036,0.002,0.049,0.0012,0.032,0,0.092,0.263,0.205,0.8692,55,Viperidae,Durban et al. (2011),Roche GS FLX,https://doi.org/10.1186/1471-2164-12-259
Bothrops_alternatus,0,0.118,0.022,0.165,0.025,0,0.018,0,0.014,0.585,0.051,0.998,100,Viperidae,Pereira de Paula et al. (2014),MegaBACE (GE),https://doi.org/10.1016/j.cbd.2014.09.001
Bothrops_asper,0.008,0.15,0.008,0.01,0,0.0003,0.042,0,0.178,0.416,0.134,0.9463,150,Viperidae,Durban et al. (2011),Roche GS FLX,https://doi.org/10.1186/1471-2164-12-259
Bothrops_atrox,0,0.071,0.005,0.048,0.01,0,0.014,0,0.146,0.616,0.082,0.992,100,Viperidae,Neiva et al. (2009),MegaBACE (GE),https://doi.org/10.1016/j.toxicon.2009.01.006
Bothrops_colombiensis,0,0.01,0.02,0.04,0.02,0,0.02,0,0.3,0.37,0.12,0.9,100,Viperidae,Suntravat et al. (2016),ABI 3730,https://doi.org/10.1186/s12867-016-0059-7
Bothrops_insularis,0,0.158,0.015,0.142,0.051,0,0.035,0,0.054,0.432,0.112,0.999,150,Viperidae,Valente et al. (2009),ABI 3100,https://doi.org/10.1016/j.jprot.2009.01.001
Bothrops_jararaca,0,0.0425,0.004,0.1365,0.029,0.002,0.0405,0,0.036,0.436,0.261,0.9875,160,Viperidae,Goncalves-Machado et al. (2016),Roche GS FLX,https://doi.org/10.1016/j.jprot.2015.04.029
Bothrops_jararacussu,0,0.01695,0.0339,0.08475,0,0,0.01695,0,0.5629,0.2582,0.01695,0.9906,70,Viperidae,Kashima et al. (2004),ABI 3100,https://doi.org/10.1016/j.biochi.2004.02.002
Bothrops_moojeni,0.0006,0.0095,0.0057,0.0267,0,0.0044,0.0127,0,0.0902,0.4663,0.2618,0.8779,130,Viperidae,Amorim et al. (2017),Illumina,https://doi.org/10.1016/j.toxicon.2017.10.025
