geneID	LG	start	stop	strand	biotype
102075536	NC_031965.1	11049	13118	-	lncRNA
100690862	NC_031965.1	31634	150960	-	protein_coding
109202014	NC_031965.1	138000	139964	+	protein_coding
109203590	NC_031965.1	211589	212299	+	protein_coding
109203645	NC_031965.1	234314	235392	-	lncRNA
109203616	NC_031965.1	238011	240592	-	lncRNA
102080836	NC_031965.1	339042	345377	-	protein_coding
100712311	NC_031965.1	434913	448252	-	protein_coding
102081337	NC_031965.1	465244	506189	-	protein_coding
109202034	NC_031965.1	508566	510128	+	protein_coding
100711965	NC_031965.1	516056	537606	-	protein_coding
100708568	NC_031965.1	557396	591494	+	protein_coding
102080149	NC_031965.1	591589	601108	+	lncRNA
100711694	NC_031965.1	599141	645719	-	protein_coding
100711423	NC_031965.1	653409	672503	+	protein_coding
100708298	NC_031965.1	672493	683965	-	protein_coding
100711153	NC_031965.1	683890	688521	+	protein_coding
109203934	NC_031965.1	691648	692247	-	lncRNA
109203927	NC_031965.1	693686	694087	-	lncRNA
100708027	NC_031965.1	708483	710176	-	protein_coding
102079351	NC_031965.1	773033	775960	-	protein_coding
100707758	NC_031965.1	779497	821893	+	protein_coding
100710887	NC_031965.1	823377	869759	+	protein_coding
102081252	NC_031965.1	885480	935081	+	protein_coding
109204114	NC_031965.1	901041	902502	+	lncRNA
109204104	NC_031965.1	909019	910026	+	lncRNA
106096678	NC_031965.1	936127	938147	+	lncRNA
100710622	NC_031965.1	938907	971479	-	protein_coding
109204165	NC_031965.1	945445	947516	+	protein_coding
109204169	NC_031965.1	979146	990727	+	protein_coding
100707491	NC_031965.1	994724	998138	+	protein_coding
100706965	NC_031965.1	998136	1003330	-	protein_coding
100707227	NC_031965.1	1004010	1006191	-	protein_coding
100710356	NC_031965.1	1005982	1015528	+	protein_coding
100710093	NC_031965.1	1015624	1031259	+	protein_coding
100706694	NC_031965.1	1031943	1049707	+	protein_coding
100706427	NC_031965.1	1050520	1058505	+	protein_coding
100709823	NC_031965.1	1059734	1122257	-	protein_coding
109204282	NC_031965.1	1200895	1202676	-	protein_coding
100706166	NC_031965.1	1206296	1212608	-	protein_coding
100709553	NC_031965.1	1226860	1231512	-	protein_coding
100709286	NC_031965.1	1233663	1237362	-	protein_coding
109202039	NC_031965.1	1276507	1278871	+	protein_coding
100705898	NC_031965.1	1347957	1355796	+	protein_coding
109204292	NC_031965.1	1357966	1361090	-	protein_coding
100709014	NC_031965.1	1366165	1371335	+	protein_coding
109202590	NC_031965.1	1431176	1440208	-	lncRNA
109204449	NC_031965.1	1474861	1477849	+	lncRNA
106098772	NC_031965.1	1533074	1535219	+	misc_RNA
102077706	NC_031965.1	1536168	1570599	+	protein_coding
100697279	NC_031965.1	1573498	1886412	-	protein_coding
100691664	NC_031965.1	1921580	1961749	-	protein_coding
